,artist_name,title
0,Miley Cyrus,Flowers
1,Morgan Wallen,Last Night
2,JISOO,FLOWER
3,Luke Combs,Fast Car
4,Russ,NASTY (Extended Version)
5,Lauren Daigle,Thank God I Do
6,Rema & Selena Gomez,Calm Down
7,Ed Sheeran,Eyes Closed
8,Lainey Wilson,Heart Like A Truck
9,Taylor Swift,Anti-Hero
10,Taylor Swift,Lavender Haze (Acoustic Version)
11,Charlie Puth,That’s Not How This Works (feat. Dan + Shay)
12,Lauren Daigle,You Say
13,Kane Brown & Katelyn Brown,Thank God
14,Morgan Wallen,Thinkin’ Bout Me
15,Jimin,Like Crazy (Deep House Remix)
16,Morgan Wallen,Thought You Should Know
17,Coi Leray,Players
18,Jimin,Like Crazy (UK Garage Remix)
19,SZA,Kill Bill
20,JISOO,All Eyes On Me
21,Jimin,Like Crazy (English Version)
22,Jimin,Like Crazy
23,P!nk,TRUSTFALL
24,Blake Shelton,God's Country
25,HARDY & Lainey Wilson,wait in the truck
26,Toosii,Favorite Song
27,Bailey Zimmerman,Rock and a Hard Place
28,Kaylee Rose,Love Makes You Blind
29,Jimin,Like Crazy (Instrumental)
30,Russ,NASTY
31,LINKIN PARK,Fighting Myself
32,Luke Combs,Love You Anyway
33,"Tyler, The Creator",SORRY NOT SORRY
34,Darius Rucker,Fires Don't Start Themselves
35,"Tyler, The Creator",WHARF TALK (feat. A$AP Rocky)
36,Morgan Wallen,Wasted On You
37,Luke Combs,5 Leaf Clover
38,Peyton Parrish,Master of War
39,Miguel,Sure Thing
40,Morgan Wallen,One Thing At A Time
41,"Tyler, The Creator",STUNTMAN (feat. Vince Staples)
42,Sia,Unstoppable
43,Paris Paloma,labour
44,OneRepublic,I Ain't Worried
45,Zach Bryan,Something in the Orange (Z&E's Version)
46,Rod Wave,Fight The Feeling
47,Jelly Roll,NEED A FAVOR
48,Lauren Daigle,Rescue
49,Luke Combs,Growin' Up and Gettin' Old
50,Paid Pat,A Drop
51,Parker McCollum,Handle On You
52,"Tyler, The Creator",DOGTOOTH
53,Morgan Wallen,Chasin' You
54,"Tyler, The Creator",HEAVEN TO ME
55,Harry Styles,As It Was
56,"Tyler, The Creator",WHAT A DAY
57,Metallica,72 Seasons
58,Rihanna,Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By)
59,"Nicki Minaj, Xxtristanxo & Speed Radio",Red Ruby Da Sleeze (Sped Up) [feat. Xxtristanxo & Speed Radio]
60,Katy Nichole,In Jesus Name (God Of Possible)
61,Melanie Martinez,VOID
62,Morgan Wallen,You Proof
63,Sam Smith & Kim Petras,Unholy
64,Jelly Roll,Son Of A Sinner
65,Chris Stapleton,Tennessee Whiskey
66,Tyler Hubbard,Dancin’ In The Country
67,Taylor Swift,All Of The Girls You Loved Before
68,"Tyler, The Creator","BOYFRIEND, GIRLFRIEND (2020 Demo) [feat. YG]"
69,Meghan Trainor,Made You Look
70,Lauren Daigle,Hold On To Me
71,Daisy Jones,It Was Always You
72,The Weeknd & Ariana Grande,Die For You (Remix)
73,Megan Moroney,Tennessee Orange
74,PinkPantheress & Ice Spice,"Boy's a liar, Pt. 2"
75,Ava Max,Cold As Ice
76,Coco Jones,ICU
77,Ed Sheeran,Shivers
78,Will Dempsey,Beat You There
79,Meghan Trainor,Mother
80,LINKIN PARK,Lost
81,Morgan Wallen,I Wrote The Book
82,David Guetta & Bebe Rexha,I'm Good (Blue)
83,Morgan Wallen,Cowgirls (feat. ERNEST)
84,Daisy Jones & The Six,Look At Us Now (Honeycomb)
85,Fleetwood Mac,Everywhere
86,KAROL G & Shakira,TQG
87,Rema,Calm Down
88,Gucci Mane,06 Gucci (feat. 21 Savage & DaBaby)
89,Grupo Firme & Gerardo Coronel,Qué Onda Perdida
90,Lady Gaga,Hold My Hand
91,Luke Combs,"Going, Going, Gone"
92,Dean Lewis,How Do I Say Goodbye
93,RAYE & 070 Shake,Escapism.
94,Niall Horan,Heaven
95,Brandon Lake,Gratitude
96,Katy Nichole & Big Daddy Weave,God Is In This Story
97,Lady Gaga,Bloody Mary
98,Fastball,Out of My Head
99,Lauren Daigle,Waiting
